State,City,Category,gasdate,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
Alabama,Birmingham,,,4/29/2014,Parts per billion,6.095833,Parts per million,0.019,Parts per billion,0.181818,Parts per million,0.17
Alabama,Birmingham,,,4/30/2014,Parts per billion,6.35,Parts per million,0.035706,Parts per billion,0.045,Parts per million,0.186818
Alabama,Birmingham,,,5/1/2014,Parts per billion,5.6375,Parts per million,0.035625,Parts per billion,0.068182,Parts per million,0.138636
Alabama,Birmingham,,,5/2/2014,Parts per billion,10.445833,Parts per million,0.030667,Parts per billion,0.954545,Parts per million,0.191818
Alabama,Birmingham,,,5/3/2014,Parts per billion,12.808333,Parts per million,0.030375,Parts per billion,0.518182,Parts per million,0.344091
Alabama,Birmingham,,,5/4/2014,Parts per billion,13.779167,Parts per million,0.036583,Parts per billion,0.827273,Parts per million,0.329091
Alabama,Birmingham,,5/5/2014,5/5/2014,Parts per billion,11.527273,Parts per million,0.040958,Parts per billion,0.82,Parts per million,0.2215
Alabama,Birmingham,,,5/6/2014,Parts per billion,13.941667,Parts per million,0.041,Parts per billion,0.772727,Parts per million,0.238182
Alabama,Birmingham,,,5/7/2014,Parts per billion,9.191667,Parts per million,0.040917,Parts per billion,1.918182,Parts per million,0.144706
Alabama,Birmingham,,,5/8/2014,Parts per billion,8.791667,Parts per million,0.038333,Parts per billion,1.209091,Parts per million,0.168182
Alabama,Birmingham,,,5/9/2014,Parts per billion,8.291667,Parts per million,0.024417,Parts per billion,0.836364,Parts per million,0.197273
Alabama,Birmingham,,,5/10/2014,Parts per billion,10.35,Parts per million,0.02175,Parts per billion,0.45,Parts per million,0.229091
Alabama,Birmingham,,,5/11/2014,Parts per billion,5.05,Parts per million,0.024458,Parts per billion,0.1,Parts per million,0.144091
Alabama,Birmingham,,5/12/2014,5/12/2014,Parts per billion,6.325,Parts per million,0.027917,Parts per billion,1,Parts per million,0.1845
Alabama,Birmingham,,,5/13/2014,Parts per billion,11.945833,Parts per million,0.029208,Parts per billion,2.313636,Parts per million,0.228182
Alabama,Birmingham,,,5/14/2014,Parts per billion,10.120833,Parts per million,0.021083,Parts per billion,0.45,Parts per million,0.182727
Alabama,Birmingham,,,5/15/2014,Parts per billion,4.929167,Parts per million,0.028042,Parts per billion,0.113636,Parts per million,0.148636
Alabama,Birmingham,,,5/16/2014,Parts per billion,13.7125,Parts per million,0.028625,Parts per billion,0.436364,Parts per million,0.318636
Alabama,Birmingham,,,5/17/2014,Parts per billion,10.0375,Parts per million,0.038208,Parts per billion,2.004545,Parts per million,0.241818
Alabama,Birmingham,,,5/18/2014,Parts per billion,5.925,Parts per million,0.028708,Parts per billion,1.063636,Parts per million,0.132273
Alabama,Birmingham,,5/19/2014,5/19/2014,Parts per billion,8.486364,Parts per million,0.0385,Parts per billion,1.42,Parts per million,0.1505
Alabama,Birmingham,,,5/20/2014,Parts per billion,8.091667,Parts per million,0.045792,Parts per billion,1.05,Parts per million,0.186364
Alabama,Birmingham,,,5/21/2014,Parts per billion,11.395833,Parts per million,0.037167,Parts per billion,0.959091,Parts per million,0.083889
Alabama,Birmingham,,,5/22/2014,Parts per billion,11.291667,Parts per million,0.032833,Parts per billion,0.372727,Parts per million,0.265455
